fup,S_0_mean,S_1_mean,MRD_hat,CIlow,CIhigh
0,0.9897656411358952,0.9908052108217963,-0.0010395696859011316,-0.006767114094054843,0.007927952993900762
1,0.9812377238964258,0.9831396098458548,-0.001901885949428972,-0.012744583726620861,0.011482645460215707
2,0.9717948379794702,0.974619923890782,-0.0028250859113118088,-0.01948377907130323,0.016091207662157894
3,0.9587508687791646,0.9628170244985902,-0.00406615571942559,-0.028356799394201257,0.021708250174786895
4,0.9318484252485345,0.9383492975496175,-0.006500872301082983,-0.04646473305169875,0.03178091954248387
