fup,S_0_mean,S_1_mean,MRD_hat,CIlow_emp,CIhigh_emp,BS_PE,CIlow_pct,CIhigh_pct
0,0.9896232379289267,0.9929589317955267,0.0033356938666000424,-0.012009584472304807,0.010540086638651358,0.004116244033870279,-0.0038686989054512733,0.01868097220550489
1,0.9805056392813856,0.9866901888547683,0.006184549573382769,-0.019215022242595123,0.01999748539808055,0.007287360611649896,-0.007628386251315011,0.03158412138936066
2,0.9721447999548745,0.9808768999647117,0.008732100009837263,-0.025375037051234263,0.028702562361270112,0.01001751553132654,-0.011238362341595587,0.04283923707090879
3,0.9641600020357265,0.9752692790396766,0.011109277003950147,-0.029328191841237666,0.03699534317787401,0.012516851624813941,-0.014776789169973714,0.05154674584913796
4,0.9562310420651746,0.9696488010524059,0.013417758987231299,-0.032247826633282344,0.04557351771374535,0.014889896921565556,-0.01873799973928275,0.05908334460774494
5,0.9480559271749806,0.9638012811875667,0.015745354012586144,-0.03462319541964354,0.05484773309018093,0.01720773113004483,-0.02335702506500864,0.06611390344481582
6,0.9393161603797946,0.957492673827807,0.01817651344801241,-0.03597919852756423,0.0643720500574298,0.019544452131188373,-0.028019023161404977,0.07233222542358905
7,0.9296426175902076,0.950443070110087,0.020800452519879387,-0.038693774272068715,0.07398134125644745,0.02200107659675372,-0.03238043621668868,0.08029467931182749
8,0.9185768743269677,0.9422947920157015,0.02371791768873388,-0.043251410156765896,0.08383979780490652,0.024729302611588084,-0.03640396242743876,0.09068724553423366
9,0.9055238978931371,0.9325703154249861,0.027046417531849,-0.0480408439415963,0.09558187300698934,0.02795767252505303,-0.04148903794329134,0.1021336790052943
