fup,S_0_mean,S_1_mean,MRD_hat,CIlow_emp,CIhigh_emp,BS_PE,CIlow_pct,CIhigh_pct
0,0.9818156966357339,0.984114509977528,0.002298813341794159,-0.01501953313893295,0.014076347564166425,0.0031381243376267095,-0.009478720880578106,0.01961715982252127
1,0.9646763297831169,0.969066658954607,0.0043903291714900705,-0.026762917921118456,0.026202620183413794,0.005777752671198675,-0.017421961840433653,0.0355435762640986
2,0.9488324111112422,0.9550927452676456,0.00626033415640348,-0.036549866267881974,0.03637390554495307,0.008055421723516113,-0.023853237232146107,0.04907053458068893
3,0.9344610473112857,0.9423659049523302,0.007904857641044538,-0.043870999353784065,0.046221843212596314,0.010009842654861129,-0.030412127930507238,0.05968071463587314
4,0.921666309377431,0.9309945935281941,0.009328284150763144,-0.052375370645329516,0.054758382705170916,0.011660402321890062,-0.03610181440364463,0.0710319389468558
5,0.9104841205407413,0.9210255013073231,0.010541380766581732,-0.05870114456123382,0.061740595487948025,0.013032097316458744,-0.04065783395478456,0.07978390609439728
6,0.9008904225881375,0.9124498685678277,0.011559445979690275,-0.06265804693986873,0.06755618933661223,0.014159486839527414,-0.04443729737723168,0.08577693889924928
7,0.89281145371928,0.9052121480165002,0.012400694297220238,-0.0653083076383591,0.07267903661753355,0.015083883742182171,-0.04787764802309308,0.09010969623279957
8,0.8861351180222099,0.8992200344953304,0.01308491647312049,-0.06891939689809658,0.07650822958180342,0.015850165928695648,-0.050338396635562443,0.09508922984433756
9,0.8807225873655378,0.8943549936436226,0.013632406278084819,-0.0713097303803247,0.07923444995086676,0.016504875073366697,-0.05196963739469712,0.09857454293649434
