fup,S_0_mean,S_1_mean,MRD_hat,CIlow_emp,CIhigh_emp,BS_PE,CIlow_pct,CIhigh_pct
0,0.9813996301844318,0.9833595937627677,0.0019599635783359437,-0.015455998488757068,0.014976635449589715,0.002586443751943498,-0.011056708292917827,0.019375925645428956
1,0.9671502956390331,0.9705752985842425,0.003425002945209421,-0.025798683064880715,0.025545384849949504,0.004466681940782035,-0.018695378959530662,0.03264868895529956
2,0.9555876142597264,0.9601773636402313,0.004589749380504937,-0.034786720501716974,0.033888051007071984,0.0059194356523196035,-0.02470855224606211,0.04396621926272685
3,0.9456682620717595,0.9512394865980967,0.005571224526337182,-0.040575357043877325,0.04132182492448738,0.007092075758643774,-0.03017937587181302,0.05171780609655169
4,0.9366838267195252,0.9431294702324139,0.006445643512888677,-0.04458903505245822,0.04718365071417313,0.008071065391178476,-0.03429236368839578,0.05748032207823557
5,0.928100910390803,0.9353686251810843,0.007267714790281321,-0.0481980751539107,0.052645987090871094,0.008912284243756636,-0.03811055751030845,0.06273350473447334
6,0.9194607469627304,0.9275425891885742,0.00808184222584385,-0.05270750221944419,0.0592588436439026,0.009654764873538696,-0.043095159192214905,0.06887118667113189
7,0.9103038636435847,0.9192334758060727,0.008929612162487999,-0.05812556603203636,0.06756592897863817,0.010326408798024132,-0.04970670465366217,0.07598479035701236
8,0.9000983942724378,0.9099542300292934,0.009855835756855669,-0.06491914719792338,0.07590451802308446,0.010943984800536601,-0.05619284650937312,0.08463081871163472
9,0.888154574022964,0.8990690042477089,0.010914430224744809,-0.06845307992927643,0.08949544789123748,0.011505510096661328,-0.06766658744174786,0.09028194037876605
