"followup_time","cum_inc_diff","2.5%","97.5%"
0,0.0015777081532653,-0.00620605372985705,0.00701436022753088
1,0.0035822486754794,-0.0120979819268255,0.0136271215708413
2,0.00598014207339914,-0.0180107449810094,0.0230919412460464
3,0.00868728545401287,-0.0254124426468476,0.0363187791998137
4,0.0115817072052182,-0.0332459756787111,0.0472803311024164
5,0.0145240344519869,-0.0386004150712441,0.0592406869869673
6,0.0173788350622066,-0.0438419161630955,0.0698094325037272
7,0.0200315774068635,-0.0488976210614575,0.0783196018614373
8,0.0223987834379583,-0.0539285088733363,0.0846166841917952
9,0.0244313595247301,-0.0580040151859878,0.0888980643582403
10,0.026112543253878,-0.0617621357141484,0.0915659423160236
