61,500,R,0.12,377.92
seed,sample_size,language,runtime_min,peak_memory_MB
60,500,Julia,0.81,824.73
60,500,R,0.12,384.04
seed,sample_size,language,runtime_min,peak_memory_MB
7,500,Julia,0.81,813.23
7,500,R,0.09,383.7
seed,sample_size,language,runtime_min,peak_memory_MB
67,500,Julia,0.8,826.51
67,500,R,0.09,383.79
seed,sample_size,language,runtime_min,peak_memory_MB
69,500,Julia,0.8,831.81
69,500,R,0.09,383.08
seed,sample_size,language,runtime_min,peak_memory_MB
68,500,Julia,0.8,822.32
68,500,R,0.09,383.69
seed,sample_size,language,runtime_min,peak_memory_MB
16,500,Julia,0.83,860.34
16,500,R,0.11,383.85
seed,sample_size,language,runtime_min,peak_memory_MB
66,500,Julia,0.83,835.66
66,500,R,0.09,377.96
seed,sample_size,language,runtime_min,peak_memory_MB
15,500,Julia,0.86,857.37
15,500,R,0.12,383.94
seed,sample_size,language,runtime_min,peak_memory_MB
46,500,Julia,0.86,845.04
46,500,R,0.13,373.47
seed,sample_size,language,runtime_min,peak_memory_MB
48,500,Julia,0.91,832.24
48,500,R,0.13,383.91
seed,sample_size,language,runtime_min,peak_memory_MB
9,500,Julia,0.89,828.99
9,500,R,0.11,377.28
seed,sample_size,language,runtime_min,peak_memory_MB
8,500,Julia,0.95,831.97
8,500,R,0.12,380.63
seed,sample_size,language,runtime_min,peak_memory_MB
51,500,Julia,1.02,838.81
51,500,R,0.14,378.14
seed,sample_size,language,runtime_min,peak_memory_MB
52,500,Julia,1.03,841.49
52,500,R,0.14,378.14
seed,sample_size,language,runtime_min,peak_memory_MB
50,500,Julia,1.03,842.68
50,500,R,0.14,383.65
seed,sample_size,language,runtime_min,peak_memory_MB
55,500,Julia,1.04,841.11
55,500,R,0.14,383.7
seed,sample_size,language,runtime_min,peak_memory_MB
54,500,Julia,1.04,842.05
54,500,R,0.14,383.05
seed,sample_size,language,runtime_min,peak_memory_MB
53,500,Julia,1.04,843.43
53,500,R,0.14,383.58
5,5000,Julia,0.59,845.62
5,5000,R,0.22,570.22
6,5000,Julia,0.61,837.55
6,5000,R,0.23,552.82
3,5000,Julia,0.65,852.01
3,5000,R,0.25,569.94
2,5000,Julia,0.64,876.17
2,5000,R,0.23,568.75
4,5000,Julia,0.66,861.32
4,5000,R,0.23,569.86
21,5000,Julia,0.68,874.61
21,5000,R,0.23,559.94
22,5000,Julia,0.68,858.71
22,5000,R,0.23,547.19
20,5000,Julia,0.68,856.13
20,5000,R,0.24,547.48
23,5000,Julia,0.68,863.47
23,5000,R,0.24,569.6
24,5000,Julia,0.68,862.64
24,5000,R,0.24,563.14
25,5000,Julia,0.68,868.23
25,5000,R,0.24,552.55
18,5000,Julia,0.71,855.91
18,5000,R,0.24,564.08
19,5000,Julia,0.71,853.66
19,5000,R,0.24,553.81
17,5000,Julia,0.71,859.65
17,5000,R,0.24,570.08
1,5000,Julia,0.71,834.69
1,5000,R,0.25,569.99
26,5000,Julia,0.72,865.97
26,5000,R,0.24,570.12
27,5000,Julia,0.73,867.36
27,5000,R,0.25,569.24
28,5000,Julia,0.73,875.08
28,5000,R,0.25,558.13
29,5000,Julia,0.77,861.71
29,5000,R,0.26,570.15
31,5000,Julia,0.77,844.71
31,5000,R,0.28,569.39
45,5000,Julia,0.77,860.06
45,5000,R,0.28,548.57
33,5000,Julia,0.77,875.4
