file,time_seconds,alloc_kb
data_1000_-3.8_0.5_0_1.csv,21.3188063,1.48683449609375e7
data_1000_-3.8_0.5_0_2.csv,14.4234982,1.5553488015625e7
data_1000_-3.8_0.5_0_3.csv,13.1584672,1.49761540078125e7
data_1000_-3.8_0.5_0_4.csv,21.5417808,1.52783177421875e7
data_1000_-3.8_0.5_0_5.csv,20.8414806,1.5239240078125e7
data_20000_-3.8_0.5_0_1.csv,799.8948691,2.902502909140625e8
data_20000_-3.8_0.5_0_2.csv,851.9171417,2.933086706953125e8
data_20000_-3.8_0.5_0_3.csv,890.3727688,2.941724241796875e8
data_20000_-3.8_0.5_0_4.csv,917.8454532,2.916563538671875e8
data_20000_-3.8_0.5_0_5.csv,687.3114622,2.9112165078125e8
data_200_-3.8_0.5_0_1.csv,5.7904693,3.168795875e6
data_200_-3.8_0.5_0_2.csv,5.466834,3.2639698203125e6
data_200_-3.8_0.5_0_3.csv,4.94707,3.2526015546875e6
data_200_-3.8_0.5_0_4.csv,5.0523781,3.2695111171875e6
data_200_-3.8_0.5_0_5.csv,5.7800415,3.4083594921875e6
data_50000_-3.8_0.5_0_1.csv,3012.662792,7.9911113121875e8
data_50000_-3.8_0.5_0_2.csv,4893.4208084,8.01434124203125e8
data_50000_-3.8_0.5_0_3.csv,2097.3112543,7.99600221578125e8
data_50000_-3.8_0.5_0_4.csv,2149.2663047,8.00779150875e8
data_50000_-3.8_0.5_0_5.csv,2191.7533169,8.004533831875e8
data_5000_-3.8_0.5_0_1.csv,57.1323876,7.7775193796875e7
data_5000_-3.8_0.5_0_2.csv,58.2932643,7.711283884375e7
data_5000_-3.8_0.5_0_3.csv,57.6508817,7.74798691484375e7
data_5000_-3.8_0.5_0_4.csv,59.3930727,7.75440625859375e7
data_5000_-3.8_0.5_0_5.csv,59.8156812,7.71408823671875e7
